commit	mean_expert	n_scored	status	description
5efcabd	25	76	baseline	Baseline: 25/76 assertions (33%)
390559d	30	76	keep	Glossary (domeinen=Wlz/Zvw/Wmo) + procedural knowledge + NHC/MPT/VPT terms. Q2,Q6 fully fixed, Q8,Q9,Q17 improved.
c097aab	32	76	discard	Hybrid section matching (direct+keyword). +2 assertions but Q3 regressed 3→0 (extra context confused model on 10-client rule). Net gain not worth regression.
0f69d67	34	76	keep	Prompt thoroughness: read full context before saying unanswerable. Q16 1→3, Q17 5/5, Q20 0→2, Q18 1→2. No regressions. 30→34 assertions.
e5da8c2	34	76	keep	Naming (Zilveren Kruis) + decisive yes/no + background knowledge emphasis. Q8 2→4/4, Q4 0→2, Q1 2→3. Q17 regressed (LLM variance). Net 34 but structural improvement.
8cd8c3c	25	76	discard	Keyword min 2 hits: major regression 34→25. Removed too much useful context for GZ questions. Q3, Q17, Q19 all regressed.
445da56	29	76	discard	Enable quote-before-conclude: regression 34→29. Q12 improved but Q3,Q9,Q16,Q18 regressed. Quoting makes answers longer, not better.
d712b5f	49	147	baseline	Expanded golden set (39 questions, 147 assertions). Baseline on full set: 33%.
c30d654	74	147	keep	Major background knowledge expansion: NZa prestatiecodes, Voorschrift ZT, hardheidsclausule, vastgoed NHC, spiegelinformatie, VPT/MPT. 49→74 assertions (33→50%). No regressions.
3e79387	72	147	discard	VV tariff specifics + essentiële voorzieningen: 74→72, slight regression. Q16, Q17, Q19 lost assertions. Added context may dilute existing knowledge.
b0b8a9d	70	147	discard	Enable verify loop: 74→70, regression. Q3 3→1, Q14 4→3, Q18 1→0. Over-correction harms good answers.
5e73baa	77	147	keep	Few-shot examples for tarief, Voorschrift ZT, prestatiecodes. Q13 0→2, Q27 1→2, Q36 2→3, VV from 39%→50%. 74→77 assertions (52%).
c0f4341	82	147	keep	Few-shot examples for VPT NHC + hoge/lage zorg. Q26 0→5/5 (perfect!), Q38 0→2. 77→82 assertions (56%). No regressions on perfect questions.
8053b97	92	147	keep	Transitiemiddelen/programmamanagement + richttarief knowledge+examples. Q24 0→4/4, Q25 0→2, Q35 0→2, Q38 2→3. GZ at 70%. 82→92 (63%).
a9d05e7	91	147	discard	VZT details expansion: Q5 0→2 (fixed!) but Q36 3→1, Q27 2→1. Net 92→91. Context dilution.
